user_id,Attention,MemoryRecall,ProcessingSpeed,Reasoning,WorkingMemory,education_level,country,time_of_day,grand_index,gender_reclassified,age_band_derive,filter_$
1003677,15,6,4,238,8,4,US,11,90.991,Female,61+,1
1004873,17,10,4,306,7,3,CA,20,85.873,Female,61+,1
1005304,18,7,7,232,8,6,US,21,117.583,Female,46-60,1
1009729,15,10,6,233,11,6,US,9,121.448,Male,46-60,1
1009928,17,6,3,210.5,6,4,US,14,90.018,Male,46-60,1
1010704,10,5,5,237.5,7,3,US,20,88.824,Female,18-30,1
1010997,19,4,6,176,10,4,US,12,121.323,Male,18-30,1
1012246,17,1,5,172,9,1,CA,13,104.166,Female,31-45,1
1012294,8,7,4,254,7,3,US,16,83.244,Female,18-30,1
1013411,16,6,5,244.5,9,4,CA,15,96.904,Male,46-60,1
1013418,12,1,6,282,7,4,US,11,85.633,Male,61+,1
1014008,19,12,7,221.5,9,8,US,15,114.59,Female,46-60,1
1018732,14,7,4,289.5,6,3,US,16,76.746,Female,61+,1
1019200,15,8,3,213.5,8,2,US,15,88.359,Female,61+,1
1019917,11,8,7,200,9,3,US,4,109.487,Male,18-30,1
1019991,14,6,6,252.5,10,6,US,23,101.295,Female,61+,1
1020583,7,10,4,224,8,6,US,21,89.889,Female,61+,1
1023157,21,13,5,174,11,4,US,10,126.799,Female,31-45,1
1025515,17,14,6,237,9,5,US,12,114.749,Male,31-45,1
1025566,10,7,5,325.5,7,6,US,0,88.824,Female,61+,1
1025654,13,9,5,196.5,7,4,US,9,98.706,Female,46-60,1
1028425,12,1,4,309,8,3,US,9,81.071, ,61+,1
1029883,11,5,5,291,9,6,US,11,94.264,Female,61+,1
1030000,13,11,5,258,8,4,AU,12,106.133,Female,46-60,1
1030179,15,7,4,440,7,6,US,14, ,Male,61+,1
1030413,6,9,3,266.5,7,5,AU,17,76.276,Female,46-60,1
1030519,11,8,4,355.5,8,6,US,20,81.45,Male,61+,1
1031968,16,3,6,169.5,10,2,US,3,112.456,Female,46-60,1
1038698,19,12,7,187,7,4,US,12,113.284,Female,18-30,1
1041143,11,10,5,254.5,7,99,US,0,100.069,Female,46-60,1
1041297,18,8,6,168,10,4,US,7,123.067,Male,18-30,1
1043796,21,14,6,193.5,9,4,US,12,131.964,Male,31-45,1
1044084,18,4,6,248.5,8,4,US,21,102.704,Female,46-60,1
1044095,11,11,5,216,8,5,US,16,98.428,Female,61+,1
1044444,16,4,4,184.5,9,4,US,8,103.12,Female,18-30,1
1046564,19,11,6,208.5,9,4,US,9,118.072,Female,31-45,1
1046581,16,11,6,203.5,9,4,CA,15,121.448,Male,18-30,1
1049487,16,12,7,262,9,4,US,20,119.512,Female,46-60,1
1054376,10,9,5,325,8,2,US,12,93.171,Female,61+,1
1056061,20,15,6,207.5,8,3,US,20,120.63,Male,31-45,1
1056379,18,10,7,203.5,8,4,CA,12,119.901,Female,18-30,1
1061585,13,5,7,201,7,7,AU,17,102.983,Male,31-45,1
1061625,16,4,7,217,10,4,US,13,109.147,Female,31-45,1
1062237,12,5,5,241.5,9,2,AU,19,104.455,Female,31-45,1
1062435,9,9,5,265.5,9,6,US,10,99.173,Male,61+,1
1062499,18,7,5,221.5,7,6,US,13,98.706,Male,61+,1
1062539,10,6,4,472.5,7,9,US,10,73.734,Female,61+,1
1063891,17,11,7,236,9,5,CA,20,116.797,Female,46-60,1
1064930,15,14,6,176.5,9,3,US,15,127.742,Female,18-30,1
1065078,15,11,5,211,10,4,US,8,116.353,Male,18-30,1
1065702,11,11,5,258.5,9,3,US,12,103.27,Female,46-60,1
1067333,13,11,5,185,9,5,AU,22,114.749,Male,46-60,1
1067355,14,6,6,289,8,6,US,22,98.706,Female,46-60,1
1069965,6,2,6,266.5,8,9,US,5,81.327, ,46-60,1
1070711,13,9,4,311.5,7,4,AU,10,90.859,Female,61+,1
1071656,5,4,4,270.5,8,1,CA,16,74.203,Male,46-60,1
1073809,10,9,6,202.5,9,7,US,15,106.944,Male,31-45,1
1073983,10,3,4,235,7,2,US,13,80.553,Female,46-60,1
1076678,22,10,6,238.5,7,4,US,11,110.007,Male,46-60,1
1078701,21,11,6,266.5,8,3,US,15,108.989,Female,31-45,1
1081478,6,5,6,258,6,4,NZ,14,79.175,Female,61+,1
1081803,16,10,3,277,8,2,AU,7,93.65,Male,61+,1
1082663,19,11,5,263.5,7,8,US,20,94.105,Female,46-60,1
1084329,19,13,5,242.5,10,3,US,22,110.906,Female,31-45,1
1085227,18,5,4,205,7,6,US,17,89.889,Female,46-60,1
1086384,8,1,6,290.5,9,3,AU,8,84.084,Female,46-60,1
1089413,15,7,5,214.5,8,7,US,15,112.965,Male,61+,1
