Age,Gender,Occupation,Daily_Screen_Time_Hours,Sleep_Hours_Per_Night,Exercise_Frequency,Social_Interactions_Per_Week,Self_Reported_Stress_Level,Meditation_Practice,Caffeine_Intake_Daily,BMI_Category,Has_Chronic_Condition,Exercise_Frequency_Num,Meditation_Num,Caffeine_Num,BMI_Num,wellbeing_index,risk_behaviour_score
56,Prefer not to say,Student,5.7,4.1,1-2x/week,13,2,No,1 cup,Obese,No,1.0,0,1.0,1,0.22938596491228067,7.7
69,Male,Unemployed,4.3,5.0,,2,8,No,1 cup,Normal,No,,0,1.0,0,,5.3
46,Female,Unemployed,14.0,6.1,,11,10,No,2-3 cups,Normal,No,,0,2.0,0,,16.0
32,Female,Healthcare,2.5,6.4,,8,6,No,1 cup,Overweight,No,,0,1.0,2,,5.5
60,Female,Student,10.8,6.1,3-5x/week,6,6,No,4+ cups,Normal,No,2.0,0,3.0,0,0.42894736842105263,13.8
25,Female,Engineer,3.6,5.2,1-2x/week,8,10,No,1 cup,Normal,Yes,1.0,0,1.0,0,0.41637426900584795,4.6
78,Female,Remote Worker,13.3,7.6,Daily,12,7,No,1 cup,Normal,Yes,3.0,0,1.0,0,0.7023391812865496,14.3
38,Male,Remote Worker,14.5,10.4,3-5x/week,17,7,No,,Normal,Yes,2.0,0,,0,0.7209064327485379,
56,Male,Unemployed,7.5,5.5,,4,6,No,1 cup,Normal,Yes,,0,1.0,0,,8.5
75,Female,Healthcare,13.3,11.5,1-2x/week,12,4,Yes,2-3 cups,Normal,No,1.0,1,2.0,0,0.4773391812865497,15.3
36,Female,Remote Worker,1.1,10.9,1-2x/week,3,9,No,2-3 cups,Normal,Yes,1.0,0,2.0,0,0.481140350877193,3.1
40,Female,Student,12.5,4.5,1-2x/week,1,6,Yes,1 cup,Normal,No,1.0,1,1.0,0,0.19371345029239767,13.5
28,Non-binary,Unemployed,4.2,10.1,3-5x/week,15,4,No,1 cup,Normal,No,2.0,0,1.0,0,0.6029239766081871,5.2
28,Female,Engineer,13.7,8.2,3-5x/week,8,3,No,2-3 cups,Normal,No,2.0,0,2.0,0,0.4302631578947368,15.7
41,Female,Unemployed,1.0,8.1,3-5x/week,8,4,No,4+ cups,Overweight,Yes,2.0,0,3.0,2,0.4552631578947368,6.0
70,Female,Engineer,8.8,6.5,,5,3,No,,Underweight,No,,0,,3,,
53,Female,Unemployed,11.6,7.5,,10,2,Yes,1 cup,Normal,No,,1,1.0,0,,12.6
57,Female,Unemployed,4.6,6.6,3-5x/week,0,5,Yes,1 cup,Overweight,No,2.0,1,1.0,2,0.3361111111111111,7.6
41,Female,Unemployed,3.7,7.9,,3,2,No,2-3 cups,Normal,No,,0,2.0,0,,5.7
20,Female,Engineer,2.2,8.7,1-2x/week,12,6,Yes,,Normal,No,1.0,1,,0,0.4551169590643275,
39,Male,Engineer,5.6,9.1,,12,3,No,1 cup,Overweight,No,,0,1.0,2,,8.6
70,Male,Unemployed,8.8,7.8,1-2x/week,12,6,No,2-3 cups,Normal,No,1.0,0,2.0,0,0.43011695906432745,10.8
19,Male,Remote Worker,2.6,9.5,,1,10,No,,Overweight,No,,0,,2,,
41,Female,Healthcare,6.3,4.3,1-2x/week,8,9,No,1 cup,Overweight,Yes,1.0,0,1.0,2,0.36359649122807014,9.3
61,Male,Healthcare,1.1,4.9,Daily,7,1,Yes,1 cup,Overweight,No,3.0,1,1.0,2,0.39488304093567256,4.1
47,Female,Healthcare,12.5,10.4,,6,6,No,1 cup,Normal,Yes,,0,1.0,0,,13.5
55,Female,Engineer,2.8,5.9,,3,9,No,1 cup,Normal,No,,0,1.0,0,,3.8
19,Male,Engineer,5.0,3.2,1-2x/week,17,4,Yes,1 cup,Normal,No,1.0,1,1.0,0,0.31257309941520467,6.0
77,Female,Remote Worker,1.3,4.4,3-5x/week,2,2,No,,Normal,No,2.0,0,,0,0.21798245614035092,
38,Male,Healthcare,7.1,5.0,,5,4,Yes,1 cup,Normal,No,,1,1.0,0,,8.1
50,Male,Healthcare,12.8,11.6,1-2x/week,11,1,No,2-3 cups,Normal,No,1.0,0,2.0,0,0.38362573099415204,14.8
29,Female,Unemployed,6.5,8.2,,11,3,No,2-3 cups,Normal,No,,0,2.0,0,,8.5
75,Male,Engineer,3.5,11.4,3-5x/week,7,10,Yes,,Underweight,No,2.0,1,,3,0.7004385964912281,
39,Male,Healthcare,11.6,8.2,1-2x/week,0,9,No,,Normal,No,1.0,0,,0,0.36666666666666664,
78,Female,Remote Worker,12.0,7.3,3-5x/week,3,10,No,1 cup,Normal,Yes,2.0,0,1.0,0,0.5339181286549707,13.0
61,Female,Remote Worker,3.4,5.8,Daily,10,5,No,1 cup,Overweight,No,3.0,0,1.0,2,0.5704678362573099,6.4
42,Male,Healthcare,11.8,8.5,,2,6,No,1 cup,Underweight,No,,0,1.0,3,,15.8
66,Female,Engineer,14.3,4.3,3-5x/week,12,3,No,2-3 cups,Normal,Yes,2.0,0,2.0,0,0.3745614035087719,16.3
44,Male,Remote Worker,3.3,11.1,,16,5,Yes,,Obese,No,,1,,1,,
76,Male,Unemployed,11.8,10.5,3-5x/week,9,8,No,,Normal,Yes,2.0,0,,0,0.6461988304093567,
59,Female,Remote Worker,10.9,5.9,1-2x/week,11,6,Yes,1 cup,Normal,No,1.0,1,1.0,0,0.3641812865497076,11.9
