user_id,Attention,MemoryRecall,ProcessingSpeed,Reasoning,WorkingMemory,education_level,country,time_of_day,grand_index,gender_reclassified,age_band_derive,filter_$
1003677,15.0,6.0,4.0,238.0,8.0,4.0,US,11.0,90.991,Female,,1
1004873,17.0,10.0,4.0,306.0,7.0,3.0,CA,20.0,85.873,Female,,1
1005304,18.0,7.0,7.0,232.0,8.0,6.0,US,21.0,117.583,Female,,1
1009729,15.0,10.0,6.0,233.0,11.0,6.0,US,9.0,121.448,Male,,1
1009928,17.0,6.0,3.0,210.5,6.0,4.0,US,14.0,90.018,Male,,1
1010704,10.0,5.0,5.0,237.5,7.0,3.0,US,20.0,88.824,Female,,1
1010997,19.0,4.0,6.0,176.0,10.0,4.0,US,12.0,121.323,Male,,1
1012246,17.0,1.0,5.0,172.0,9.0,1.0,CA,13.0,104.166,Female,,1
1012294,8.0,7.0,4.0,254.0,7.0,3.0,US,16.0,83.244,Female,,1
1013411,16.0,6.0,5.0,244.5,9.0,4.0,CA,15.0,96.904,Male,,1
1013418,12.0,1.0,6.0,282.0,7.0,4.0,US,11.0,85.633,Male,,1
1014008,19.0,12.0,7.0,221.5,9.0,8.0,US,15.0,114.59,Female,,1
1018732,14.0,7.0,4.0,289.5,6.0,3.0,US,16.0,76.746,Female,,1
1019200,15.0,8.0,3.0,213.5,8.0,2.0,US,15.0,88.359,Female,,1
1019917,11.0,8.0,7.0,200.0,9.0,3.0,US,4.0,109.487,Male,,1
1019991,14.0,6.0,6.0,252.5,10.0,6.0,US,23.0,101.295,Female,,1
1020583,7.0,10.0,4.0,224.0,8.0,6.0,US,21.0,89.889,Female,,1
1023157,21.0,13.0,5.0,174.0,11.0,4.0,US,10.0,126.799,Female,,1
1025515,17.0,14.0,6.0,237.0,9.0,5.0,US,12.0,114.749,Male,,1
1025566,10.0,7.0,5.0,325.5,7.0,6.0,US,0.0,88.824,Female,,1
1025654,13.0,9.0,5.0,196.5,7.0,4.0,US,9.0,98.706,Female,,1
1028425,12.0,1.0,4.0,309.0,8.0,3.0,US,9.0,81.071, ,,1
1029883,11.0,5.0,5.0,291.0,9.0,6.0,US,11.0,94.264,Female,,1
1030000,13.0,11.0,5.0,258.0,8.0,4.0,AU,12.0,106.133,Female,,1
1030179,15.0,7.0,4.0,385.0825369944426,7.0,6.0,US,14.0,104.025,Male,,1
1030413,6.0,9.0,3.0,266.5,7.0,5.0,AU,17.0,76.276,Female,,1
1030519,11.0,8.0,4.0,355.5,8.0,6.0,US,20.0,81.45,Male,,1
1031968,16.0,3.0,6.0,169.5,10.0,2.0,US,3.0,112.456,Female,,1
1038698,19.0,12.0,7.0,187.0,7.0,4.0,US,12.0,113.284,Female,,1
1041143,11.0,10.0,5.0,254.5,7.0,42.43419651522588,US,0.0,100.069,Female,,1
1041297,18.0,8.0,6.0,168.0,10.0,4.0,US,7.0,123.067,Male,,1
1043796,21.0,14.0,6.0,193.5,9.0,4.0,US,12.0,131.964,Male,,1
1044084,18.0,4.0,6.0,248.5,8.0,4.0,US,21.0,102.704,Female,,1
1044095,11.0,11.0,5.0,216.0,8.0,5.0,US,16.0,98.428,Female,,1
1044444,16.0,4.0,4.0,184.5,9.0,4.0,US,8.0,103.12,Female,,1
1046564,19.0,11.0,6.0,208.5,9.0,4.0,US,9.0,118.072,Female,,1
1046581,16.0,11.0,6.0,203.5,9.0,4.0,CA,15.0,121.448,Male,,1
1049487,16.0,12.0,7.0,262.0,9.0,4.0,US,20.0,119.512,Female,,1
1054376,10.0,9.0,5.0,325.0,8.0,2.0,US,12.0,93.171,Female,,1
1056061,20.0,15.0,6.0,207.5,8.0,3.0,US,20.0,120.63,Male,,1
1056379,18.0,10.0,7.0,203.5,8.0,4.0,CA,12.0,119.901,Female,,1
1061585,13.0,5.0,7.0,201.0,7.0,7.0,AU,17.0,102.983,Male,,1
1061625,16.0,4.0,7.0,217.0,10.0,4.0,US,13.0,109.147,Female,,1
1062237,12.0,5.0,5.0,241.5,9.0,2.0,AU,19.0,104.455,Female,,1
1062435,9.0,9.0,5.0,265.5,9.0,6.0,US,10.0,99.173,Male,,1
1062499,18.0,7.0,5.0,221.5,7.0,6.0,US,13.0,98.706,Male,,1
1062539,10.0,6.0,4.0,385.0825369944426,7.0,9.0,US,10.0,73.734,Female,,1
1063891,17.0,11.0,7.0,236.0,9.0,5.0,CA,20.0,116.797,Female,,1
1064930,15.0,14.0,6.0,176.5,9.0,3.0,US,15.0,127.742,Female,,1
1065078,15.0,11.0,5.0,211.0,10.0,4.0,US,8.0,116.353,Male,,1
1065702,11.0,11.0,5.0,258.5,9.0,3.0,US,12.0,103.27,Female,,1
1067333,13.0,11.0,5.0,185.0,9.0,5.0,AU,22.0,114.749,Male,,1
1067355,14.0,6.0,6.0,289.0,8.0,6.0,US,22.0,98.706,Female,,1
1069965,6.0,2.0,6.0,266.5,8.0,9.0,US,5.0,81.327, ,,1
1070711,13.0,9.0,4.0,311.5,7.0,4.0,AU,10.0,90.859,Female,,1
1071656,5.0,4.0,4.0,270.5,8.0,1.0,CA,16.0,74.203,Male,,1
1073809,10.0,9.0,6.0,202.5,9.0,7.0,US,15.0,106.944,Male,,1
1073983,10.0,3.0,4.0,235.0,7.0,2.0,US,13.0,80.553,Female,,1
1076678,22.0,10.0,6.0,238.5,7.0,4.0,US,11.0,110.007,Male,,1
1078701,21.0,11.0,6.0,266.5,8.0,3.0,US,15.0,108.989,Female,,1
1081478,6.0,5.0,6.0,258.0,6.0,4.0,NZ,14.0,79.175,Female,,1
1081803,16.0,10.0,3.0,277.0,8.0,2.0,AU,7.0,93.65,Male,,1
1082663,19.0,11.0,5.0,263.5,7.0,8.0,US,20.0,94.105,Female,,1
1084329,19.0,13.0,5.0,242.5,10.0,3.0,US,22.0,110.906,Female,,1
1085227,18.0,5.0,4.0,205.0,7.0,6.0,US,17.0,89.889,Female,,1
1086384,8.0,1.0,6.0,290.5,9.0,3.0,AU,8.0,84.084,Female,,1
1089413,15.0,7.0,5.0,214.5,8.0,7.0,US,15.0,112.965,Male,,1
1091489,26.0,7.0,5.0,165.5,8.0,3.0,US,17.0,120.977,Male,,1
1092528,18.0,12.0,7.0,185.0,9.0,6.0,US,15.0,128.375,Male,,1
1096639,13.0,4.0,5.0,241.0,7.0,4.0,US,15.0,95.621,Female,,1
1096941,16.0,12.0,6.0,219.0,8.0,6.0,US,10.0,113.284,Female,,1
1097314,16.0,9.0,6.0,238.5,10.0,4.0,US,12.0,112.641,Female,,1
1098026,8.0,7.0,5.0,230.0,8.0,1.0,AU,22.0,94.562,Male,,1
1098094,10.0,3.0,6.0,385.0825369944426,9.0,9.0,CA,18.0,88.188, ,,1
1098865,15.0,9.0,5.0,170.5,8.0,4.0,AU,14.0,113.436,Female,,1
1099131,9.0,8.0,5.0,251.0,8.0,4.0,US,9.0,89.889,Male,,1
1100111,13.0,18.0,8.0,203.0,11.0,4.0,US,18.0,136.028,Male,,1
1102827,21.0,13.0,7.0,189.0,8.0,4.0,US,17.0,129.134,Male,,1
1102847,19.0,8.0,5.0,287.5,7.0,7.0,CA,12.0,96.445,Female,,1
1105352,11.0,5.0,4.0,373.5,5.0,6.0,US,11.0,64.461,Female,,1
1105671,12.0,13.0,5.0,213.0,11.0,4.0,US,12.0,113.436,Female,,1
1107072,15.0,9.0,6.0,232.5,8.0,6.0,US,19.0,109.764,Female,,1
1108704,12.0,4.0,5.0,250.5,7.0,4.0,US,22.0,84.787,Female,,1
1111590,14.0,11.0,4.0,208.5,6.0,4.0,US,9.0,92.56,Female,,1
1113449,14.0,11.0,6.0,202.5,8.0,2.0,US,15.0,114.426,Male,,1
1116345,14.0,3.0,4.0,286.5,9.0,8.0,US,10.0,86.883,Female,,1
1118985,23.0,7.0,6.0,196.0,10.0,4.0,CA,10.0,126.04,Female,,1
1120223,13.0,3.0,5.0,274.5,7.0,3.0,US,14.0,86.303,Female,,1
1123561,17.0,11.0,6.0,237.5,8.0,4.0,AU,15.0,109.623,Female,,1
1123749,18.0,19.0,6.0,217.5,9.0,5.0,AU,20.0,121.797,Male,,1
1126612,12.0,2.0,5.0,267.5,7.0,3.0,US,9.0,78.523,Female,,1
1127288,20.0,4.0,5.0,272.0,7.0,3.0,US,20.0,88.681,Female,,1
1131461,11.0,7.0,6.0,197.5,8.0,8.0,US,21.0,105.519,Female,,1
1134479,14.0,11.0,7.0,242.0,10.0,3.0,US,10.0,122.474,Female,,1
1134815,6.0,5.0,5.0,194.5,9.0,2.0,US,13.0,97.053,Female,,1
1138137,12.0,8.0,6.0,189.5,8.0,2.0,US,1.0,108.505,Female,,1
1138438,13.0,9.0,4.0,203.5,8.0,2.0,CA,14.0,92.56,Female,,1
1138768,12.0,5.0,5.0,385.0825369944426,7.0,4.0,US,10.0,104.025,Female,,1
1140345,5.0,5.0,3.0,221.0,8.0,4.0,US,14.0,76.054,Male,,1
1142857,11.0,5.0,5.0,258.0,11.0,4.0,US,14.0,107.385,Female,,1
1143365,17.0,9.0,6.0,175.5,10.0,4.0,US,11.0,120.63,Male,,1
1143927,21.0,16.0,6.0,218.5,9.0,6.0,US,16.0,130.026,Female,,1
1144963,15.0,9.0,5.0,195.0,8.0,5.0,US,9.0,103.27,Female,,1
1145479,15.0,9.0,6.0,228.5,8.0,4.0,US,21.0,104.455,Female,,1
1145681,23.0,14.0,6.0,187.5,8.0,3.0,US,18.0,133.535,Female,,1
1145996,15.0,5.0,5.0,274.5,8.0,6.0,US,20.0,89.479,Female,,1
1147362,15.0,12.0,7.0,172.0,10.0,1.0,NZ,3.0,136.344,Male,,1
1147772,19.0,7.0,5.0,230.0,8.0,4.0,US,20.0,103.426,Male,,1
1148293,18.0,6.0,5.0,309.5,10.0,6.0,US,12.0,105.841,Female,,1
1148632,13.0,3.0,6.0,237.5,7.0,4.0,CA,16.0,94.975,Female,,1
1149658,20.0,3.0,4.0,218.0,8.0,6.0,CA,12.0,99.644,Female,,1
1150605,22.0,11.0,6.0,222.0,8.0,6.0,US,14.0,115.225,Female,,1
1151125,17.0,10.0,5.0,240.0,8.0,5.0,US,17.0,105.037,Male,,1
1151375,13.0,8.0,5.0,385.0825369944426,8.0,4.0,US,9.0,104.025,Female,,1
1151779,19.0,9.0,4.0,226.0,8.0,4.0,US,12.0,95.91,Female,,1
1154327,13.0,3.0,6.0,254.5,9.0,4.0,US,12.0,102.082,Female,,1
1154973,14.0,4.0,5.0,270.5,7.0,4.0,US,16.0,97.511,Female,,1
1157468,14.0,11.0,6.0,263.5,9.0,6.0,US,17.0,108.679,Female,,1
1157483,17.0,9.0,6.0,181.0,8.0,3.0,US,20.0,112.456,Female,,1
1158190,27.0,14.0,6.0,230.0,8.0,4.0,US,16.0,122.474,Female,,1
1159473,15.0,12.0,6.0,230.0,8.0,9.0,US,22.0,104.31, ,,1
1159793,17.0,12.0,6.0,166.0,8.0,6.0,US,22.0,106.003,Male,,1
1159901,13.0,10.0,5.0,240.5,9.0,4.0,US,7.0,105.377,Male,,1
1163454,12.0,3.0,5.0,295.0,7.0,3.0,AU,9.0,78.045,Female,,1
1164973,21.0,9.0,5.0,210.5,7.0,9.0,US,13.0,105.208,Female,,1
1166583,14.0,13.0,6.0,226.5,9.0,4.0,US,15.0,116.946,Female,,1
1166973,16.0,7.0,4.0,229.0,8.0,3.0,CA,14.0,91.494,Female,,1
1168578,14.0,6.0,5.0,264.0,8.0,4.0,US,12.0,95.91,Female,,1
1169818,18.0,16.0,5.0,202.0,7.0,4.0,US,10.0,113.284,Male,,1
1170177,15.0,10.0,4.0,242.0,7.0,6.0,US,21.0,92.225,Male,,1
1172351,12.0,8.0,5.0,261.5,8.0,3.0,US,21.0,95.274,Female,,1
1173536,11.0,6.0,5.0,210.0,8.0,2.0,US,10.0,95.457,Male,,1
